ext_plt_id,ext_plt_name
,EPLATE_01
,EPLATE_02
,EPLATE_03
,EPLATE_04
,EPLATE_05
,EPLATE_06
,EPLATE_07
,EPLATE_08
,EPLATE_09
,EPLATE_10
,EPLATE_11
,EPLATE_12
